x,y,z
0.0308105,0.0546011,0
0.027204,0.0145248,0
0.0469524,0.00390665,0
0.0390224,0.0266096,0
0.0543295,0.0374721,0
0.0065282,0.00902397,0
0.0232128,0.0381056,0
0.0325724,0.012615,0
0.0423156,0.0466959,0
0.0506149,0.0180218,0
0.0352643,0.0279064,0
0.0178401,0.00100278,0
0.0128469,0.00575217,0
0.045329,0.032461,0
0.0292352,0.015829,0
0.0403638,0.0443982,0
0.0170562,0.0245382,0
0.0521662,0.00810963,0
0.04379,0.0216607,0
0.034204,0.0413758,0
0.0221161,0.0118772,0
0.0487444,0.0485579,0
0.0366138,0.00321693,0
0.0204697,0.0306955,0
0.0430821,0.0106556,0
0.0312697,0.0457837,0
0.0240294,0.020953,0
0.0512146,0.0301434,0
0.00094161,0.00180074,0
0.0356065,0.0198181,0
0.0547339,0.0252794,0
0.0382072,0.0359427,0
0.0143899,0.00700764,0
0.0482011,0.0529482,0
0.0119142,0.0164644,0
0.0263888,0.0312396,0
0.0301687,0.0061662,0
0.0191418,0.0184976,0
0.0373237,0.050975,0
0.0494834,0.000116856,0
0.0447372,0.0393416,0
0.0086331,0.0132118,0
0.0334352,0.023054,0
0.0281435,0.0334938,0
0.0258809,0.00474135,0
0.0459226,0.0148814,0
0.0528947,0.0419589,0
0.0411574,0.00954824,0
0.0578248,0.0454364,0
0.109944,0.0217694,0
0.0736271,0.0107418,0
0.0949134,0.0405872,0
0.0665979,0.0193133,0
0.0971659,0.0485621,0
0.0879509,0.00334418,0
0.0826519,0.0300168,0
0.102246,0.00745512,0
0.0630575,0.0360543,0
0.0856511,0.0446586,1.19209e-07
0.0769722,0.024243,0
0.0611414,0.00529262,0
0.107011,0.0323367,0
0.0912667,0.0155704,1.19209e-07
0.0719095,0.0532848,1.19209e-07
0.107876,0.0482686,1.19209e-07
0.0555369,0.0238231,0
0.0965113,0.0131095,0
0.0747878,0.0389588,0
0.0804639,0.00114068,0
0.0891072,0.0286644,0
0.067763,0.0508357,0
0.098491,0.0188557,1.19209e-07
0.084014,0.0264952,0
0.0786577,0.0429851,0
0.0649364,0.0100461,0
0.100923,0.0364452,0
0.105271,0.00381149,0
0.0597103,0.0341139,0
0.0707964,0.0144023,0
0.0929825,0.053811,0
0.076655,0.0375403,0
0.0849285,0.00947531,0
0.0634481,0.0276179,0
0.103221,0.0420097,0
0.0616273,0.055041,0
0.105845,0.0152641,0
0.0709798,0.00516032,0
0.0903093,0.0336637,0
0.0978061,0.000764374,1.19209e-07
0.0660795,0.027732,0
0.0814027,0.0173911,0
0.0869224,0.0514083,1.19209e-07
0.109151,0.0381428,1.19209e-07
0.0581797,0.012699,0
0.0937559,0.0231875,0
0.0731808,0.0467458,0
0.0830324,0.0350272,0
0.0778836,0.00833533,0
0.0641305,0.0434814,0
0.101393,0.0256776,0
0.103863,0.0518627,0
0.0589857,0.017104,0
0.069954,0.0312404,0
0.0919816,0.00650186,1.19209e-07
0.0796813,0.0496869,1.19209e-07
0.0887536,0.0204645,1.19209e-07
0.0687831,0.00239297,0
0.0995931,0.0306228,0
0.0950436,0.0465086,0
0.0754886,0.0208634,0
0.056904,0.0408591,0
0.108642,0.0118307,0
0.155299,0.00248417,0
0.124201,0.0280447,0
0.133796,0.0212029,0
0.138717,0.0459311,0
0.111639,0.0126505,0
0.16379,0.041267,1.19209e-07
0.126307,0.050363,0
0.147831,0.0174042,1.19209e-07
0.157904,0.0536365,0
0.118432,0.0152652,1.19209e-07
0.135496,0.0364469,1.19209e-07
0.144184,0.00811534,0
0.129798,0.00491819,1.19209e-07
0.148795,0.0316995,0
0.159466,0.0273539,0
0.114428,0.0415556,0
0.112844,0.0391243,0
0.16541,0.0114361,0
0.145623,0.0499661,0
0.124826,0.0197378,0
0.122502,0.000893211,0
0.152679,0.0304235,0
0.13133,0.0479619,1.19209e-07
0.140052,0.0240631,0
0.161835,0.0437867,0
0.115875,0.0257164,0
0.128013,0.0342527,1.19209e-07
0.150928,0.00536593,1.19209e-07
0.142253,0.0349298,0
0.137111,0.00982969,0
0.120873,0.0524569,1.19209e-07
0.156365,0.015843,1.19209e-07
0.125325,0.040414,1.19209e-07
0.146333,0.0133421,0
0.164561,0.0515296,0
0.113862,0.0186566,0
0.132469,0.00286308,1.19209e-07
0.141516,0.029051,0
0.121763,0.0450426,1.19209e-07
0.153377,0.0223206,0
0.14291,0.0138998,1.19209e-07
0.137993,0.0551011,1.19209e-07
0.119891,0.00704996,1.19209e-07
0.156017,0.0376497,0
0.129009,0.0262041,0
0.151881,0.042869,0
0.116954,0.0326003,0
0.161303,0.00390789,0
0.136169,0.017037,0
0.145092,0.0532434,0
0.158539,0.00940619,1.19209e-07
0.118057,0.0362641,0
0.160509,0.0336273,1.19209e-07
