x,y,z
2.29843,-0.197648,0.0478251
2.37536,-0.313038,0.0539037
2.43161,-0.397413,0.0568032
2.46304,-0.44456,0.0605273
2.48444,-0.5,0.0612222
2.47966,-0.469492,0.0613136
2.49384,-0.490765,0.0625246
2.47876,-0.5,0.0573551
2.40029,-0.5,0.0602812
2.43276,-0.5,0.0582951
2.39276,-0.5,0.054003
2.3826,-0.5,0.0578456
2.32029,-0.5,0.0517049
2.27371,-0.5,0.0532085
2.29612,-0.5,0.0503349
2.36303,-0.5,0.0592879
2.3073,-0.5,0.0560866
2.19457,-0.5,0.052941
2.24777,-0.5,0.0505518
2.16184,-0.5,0.0501679
2.17009,-0.5,0.0476612
2.23398,-0.5,0.0514722
2.04891,-0.5,0.0449807
1.97917,-0.5,0.0410191
2.08323,-0.5,0.050934
2.10694,-0.5,0.0486152
1.94267,-0.5,0.0436298
1.9266,-0.5,0.0401422
1.82508,-0.5,0.0404846
1.90277,-0.5,0.0446809
1.86102,-0.5,0.0366024
1.7057,-0.5,0.0328293
1.81636,-0.5,0.0406754
1.68437,-0.5,0.0357633
1.76008,-0.5,0.036805
1.46608,-0.5,0.0311671
1.60539,-0.5,0.0311597
1.56775,-0.5,0.0322848
1.37255,-0.5,0.0229549
1.31959,-0.5,0.0256531
1.25893,-0.5,0.0215226
1.38565,-0.5,0.0228409
1.05833,-0.5,0.0152622
1.23292,-0.5,0.0214556
1.1094,-0.5,0.0196635
0.97205,-0.5,0.012812
0.783697,-0.5,0.00772445
0.896488,-0.5,0.0125447
0.692378,-0.5,0.00670032
2.29576,-0.193639,0.0506435
2.25248,-0.128714,0.0582484
2.26445,-0.14668,0.0557627
2.28592,-0.178881,0.0672152
2.28954,-0.184309,0.0601271
2.25785,-0.136776,0.0479248
2.27894,-0.16841,0.0531037
2.27454,-0.16181,0.0626496
2.27145,-0.157174,0.0473215
2.28169,-0.172533,0.0612698
2.26268,-0.144018,0.0641291
2.29238,-0.188568,0.0557015
2.3279,-0.241851,0.0570945
2.32387,-0.235803,0.0669229
2.30861,-0.212917,0.0496996
2.34081,-0.261213,0.0659331
2.3039,-0.205847,0.0593591
2.34453,-0.266802,0.0566956
2.33503,-0.25254,0.0687267
2.31601,-0.224015,0.058406
2.31446,-0.221692,0.0621851
2.33103,-0.246548,0.052404
2.30191,-0.202873,0.0538369
2.34595,-0.268928,0.0673552
2.37173,-0.3076,0.0573817
2.36466,-0.296994,0.0665085
2.38176,-0.322634,0.0738122
2.35711,-0.285666,0.0579339
2.35051,-0.275768,0.0675481
2.39122,-0.336826,0.0642801
2.35961,-0.28941,0.0553044
2.37678,-0.315172,0.0655256
2.3562,-0.284303,0.0631494
2.3838,-0.325694,0.0551075
2.36885,-0.303269,0.0621992
2.37292,-0.309375,0.0699803
2.3972,-0.345798,0.0725248
2.42678,-0.390167,0.0647144
2.41109,-0.366629,0.0615638
2.41693,-0.375396,0.0703655
2.42096,-0.381442,0.0586846
2.40666,-0.359985,0.06706
2.42809,-0.392133,0.0739927
2.39498,-0.342475,0.0632455
2.40922,-0.363834,0.0719212
2.41339,-0.370079,0.0664643
2.40123,-0.351851,0.057987
2.42487,-0.387297,0.0694161
2.45094,-0.426405,0.0717482
2.45435,-0.43152,0.0628542
2.44011,-0.41016,0.0678561
2.46207,-0.443105,0.075415
2.47029,-0.455429,0.0668478
2.4333,-0.399955,0.0768388
2.4605,-0.440751,0.0713494
2.44482,-0.417231,0.06197
2.45339,-0.43009,0.0761001
2.44857,-0.422849,0.0667186
2.4375,-0.406244,0.0688419
2.46437,-0.446555,0.0621285
2.49806,-0.497085,0.0734689
2.47805,-0.467081,0.0657568
2.48819,-0.482285,0.0782855
2.49195,-0.487919,0.0690911
2.48304,-0.474553,0.0692864
2.49715,-0.495726,0.0792143
2.48246,-0.5,0.0640838
2.47112,-0.456685,0.0743656
2.4762,-0.4643,0.0791683
2.49936,-0.5,0.0724697
2.48598,-0.47897,0.0644627
2.49049,-0.485733,0.0743374
2.38883,-0.5,0.0672137
2.46655,-0.5,0.0775115
2.43573,-0.5,0.0658789
2.42618,-0.5,0.0709304
2.40785,-0.5,0.061304
2.45345,-0.5,0.0756852
2.472,-0.5,0.0707687
2.3782,-0.5,0.0768223
2.40522,-0.5,0.0747157
2.44245,-0.5,0.0668195
2.47572,-0.5,0.0731494
2.37307,-0.5,0.0633129
2.33521,-0.5,0.0765962
2.2861,-0.5,0.0665478
2.35843,-0.5,0.0627187
2.25642,-0.5,0.067494
2.30485,-0.5,0.072839
2.31364,-0.5,0.0629951
2.34729,-0.5,0.0714553
2.26934,-0.5,0.0582171
2.26166,-0.5,0.0629365
2.36904,-0.5,0.0749984
2.29551,-0.5,0.0712257
2.3314,-0.5,0.0592142
2.20296,-0.5,0.0638589
2.15767,-0.5,0.0684461
2.1334,-0.5,0.0557687
2.23911,-0.5,0.0683452
2.23248,-0.5,0.0570042
2.13831,-0.5,0.0643551
2.17136,-0.5,0.0588576
2.19216,-0.5,0.0726159
2.2481,-0.5,0.0625565
2.12725,-0.5,0.0702956
2.21076,-0.5,0.0648316
2.1636,-0.5,0.0537755
1.98482,-0.5,0.050153
2.10711,-0.5,0.063856
2.07186,-0.5,0.0568376
2.02759,-0.5,0.0684079
1.99599,-0.5,0.0616599
2.09075,-0.5,0.0540846
2.04046,-0.5,0.0590497
2.06634,-0.5,0.0664433
2.11609,-0.5,0.0596201
1.98847,-0.5,0.0658049
2.015,-0.5,0.05274
2.07669,-0.5,0.0645686
1.93956,-0.5,0.0649732
1.87076,-0.5,0.0513398
