x,y,z
0,0.0636429,0.6752
0,0.977631,0.0914307
0,0.349081,0.268899
0,0.675715,0.784842
0,0.856455,0.574062
0,0.226564,0.184969
0,0.397284,0.989302
0,0.563636,0.481581
0,0.509871,0.744996
0,0.45962,0.00894569
0,0.126572,0.818164
0,0.79026,0.316382
0,0.705652,0.231946
0,0.30309,0.539807
0,0.879215,0.882784
0,0.0407513,0.4137
0,0.53675,0.444322
0,0.49417,0.810681
0,0.171016,0.0655954
0,0.756987,0.621022
0,0.915363,0.136768
0,0.0060999,0.654833
0,0.276744,0.288093
0,0.744124,0.966002
0,0.107716,0.403481
0,0.943814,0.868492
0,0.653934,0.0486506
0,0.321868,0.544531
0,0.430944,0.240471
0,0.602856,0.711106
0,0.819825,0.337802
0,0.193744,0.879194
0,0.341906,0.925307
0,0.747187,0.31352
0,0.972217,0.511744
0,0.00954237,0.0110691
0,0.490299,0.411678
0,0.593267,0.84381
0,0.204616,0.701226
0,0.750131,0.233593
0,0.105414,0.752142
0,0.934962,0.488532
0,0.647415,0.683662
0,0.297611,0.161053
0,0.423414,0.604936
0,0.562155,0.089347
0,0.815401,0.995282
0,0.148594,0.270914
0,0.166703,0.816479
0,0.874608,0.433937
0,0.387985,0.235674
0,0.53702,0.747171
0,0.0891073,0.332251
0,0.886521,0.90583
0,0.660792,0.0206638
0,0.286596,0.557402
0,0.943562,0.158774
0,0.0249063,0.641253
0,0.325337,0.47022
0,0.722737,0.755595
0,0.776472,0.572325
0,0.243675,0.0792425
0,0.572624,0.255726
0,0.473503,0.991988
0,0.999636,0.0250628
0,0.0609385,0.725292
0,0.689589,0.908351
0,0.332219,0.391207
0,0.213074,0.249317
0,0.773436,0.507302
0,0.571808,0.342288
0,0.469475,0.828099
0,0.866084,0.481379
0,0.125509,0.993401
0,0.376786,0.0644366
0,0.534003,0.662101
0,0.101341,0.292237
0,0.907575,0.753724
0,0.294233,0.582847
0,0.629732,0.134161
0,0.483519,0.281397
0,0.545504,0.806449
0,0.776475,0.153683
0,0.185488,0.60314
0,0.906954,0.639475
0,0.048123,0.108838
0,0.250531,0.945714
0,0.697319,0.493211
0,0.954513,0.333408
0,0.115879,0.872845
0,0.650671,0.556815
0,0.332183,0.240537
0,0.377655,0.710921
0,0.624806,0.0441195
0,0.21828,0.397649
0,0.871805,0.901954
0,0.209175,0.798838
0,0.865929,0.44361
0,0.38057,0.133033
0,0.562954,0.63295
0,0.353501,0.577545
0,0.658107,0.101571
0,0.0932934,0.281764
0,0.951947,0.971491
0,0.738525,0.874768
0,0.308435,0.397541
0,0.0286913,0.728769
0,0.933453,0.211514
0,0.175976,0.0351909
0,0.772135,0.559388
0,0.522083,0.363465
0,0.478258,0.879182
0,0.658023,0.0518817
0,0.341902,0.692742
0,0.909349,0.874789
0,0.000511016,0.349018
0,0.16549,0.916382
0,0.761769,0.400151
0,0.388908,0.209306
0,0.565248,0.56068
0,0.939226,0.131758
0,0.0952334,0.609477
0,0.30069,0.446189
0,0.739767,0.948247
0,0.227381,0.0961299
0,0.869434,0.658473
0,0.467355,0.763038
0,0.522929,0.289579
0,0.808965,0.579405
0,0.217056,0.166794
0,0.390227,0.985675
0,0.532356,0.46937
0,0.2832,0.258547
0,0.633182,0.808665
0,0.965021,0.0724176
0,0.00332391,0.672622
0,0.181948,0.81362
0,0.859312,0.335404
0,0.570807,0.727988
0,0.469418,0.0152972
0,0.0767286,0.418361
0,0.904569,0.880383
0,0.345272,0.534237
0,0.719479,0.243966
0,0.561286,0.320957
0,0.430116,0.842624
0,0.146361,0.0229634
0,0.812707,0.734783
0,0.644558,0.901923
0,0.309747,0.425472
0,0.922805,0.22339
0,0.10123,0.557433
0,0.496693,0.178476
0,0.582853,0.575464
0,0.752534,0.497209
0,0.2175,0.984191
0,0.0044297,0.268048
0,0.970391,0.782628
0,0.74807,0.0847993
0,0.330426,0.66518
0,0.513986,0.909413
0,0.413116,0.422671
0,0.125308,0.512363
0,0.829189,0.236026
0,0.0863028,0.0232461
0,0.924471,0.728447
0,0.668665,0.329589
0,0.265562,0.853591
0,0.0569491,0.968335
0,0.980645,0.486259
0,0.344803,0.166075
0,0.694431,0.614485
0,0.469675,0.673204
0,0.607872,0.0815667
0,0.196601,0.255811
0,0.76862,0.779145
0,0.661094,0.0214395
0,0.302415,0.70219
0,0.0052762,0.312781
0,0.952451,0.853093
0,0.531054,0.505314
0,0.430493,0.22224
0,0.791898,0.433088
0,0.229398,0.918947
0,0.617316,0.26243
0,0.464197,0.778738
0,0.869266,0.685034
0,0.132354,0.0693285
0,0.362239,0.473485
0,0.708438,0.95327
0,0.905656,0.162318
0,0.0799617,0.590762
0,0.128935,0.248247
0,0.81819,0.534191
0,0.459395,0.876037
0,0.610343,0.415669
0,0.105227,0.730393
0,0.90765,0.0150841
0,0.698978,0.818393
0,0.338665,0.331994
0,0.228357,0.806902
0,0.769897,0.257936
0,0.426542,0.0748154
0,0.523063,0.675756
0,0.682513,0.169801
0,0.279133,0.583272
0,0.986259,0.989013
0,0.0615388,0.474017
0,0.666429,0.241105
0,0.332112,0.711354
0,0.0107408,0.416705
0,0.915952,0.866508
0,0.757051,0.335781
0,0.159763,0.925726
0,0.379082,0.00307173
0,0.570435,0.531139
0,0.749165,0.977222
0,0.305504,0.266185
0,0.104027,0.607417
0,0.948178,0.0832765
0,0.52911,0.487322
0,0.457706,0.759266
0,0.860866,0.658405
0,0.220763,0.172481
0,0.0586702,0.308572
0,0.896976,0.972992
0,0.669051,0.106552
0,0.344822,0.567627
0,0.571481,0.626301
0,0.38559,0.148274
0,0.176544,0.794938
0,0.78374,0.445349
0,0.0852726,0.748801
0,0.990889,0.201122
0,0.740606,0.866946
0,0.251233,0.384713
0,0.837036,0.548496
0,0.235797,0.0347684
0,0.515728,0.351629
0,0.460496,0.892989
0,0.620984,0.777675
0,0.482833,0.268616
0,0.203665,0.660238
0,0.769009,0.091078
0,0.695688,0.491268
0,0.345884,0.961677
0,0.989738,0.62266
0,0.0552373,0.177983
0,0.666211,0.725537
0,0.264911,0.00258664
0,0.919427,0.312985
0,0.093494,0.860345
0,0.417558,0.521134
0,0.500144,0.224893
0,0.820743,0.917735
0,0.133632,0.425519
0,0.291735,0.318289
0,0.715836,0.884527
0,0.885582,0.0019715
0,0.042338,0.541873
0,0.794876,0.727428
0,0.13063,0.222969
0,0.450268,0.83066
0,0.510505,0.414481
0,0.360323,0.631373
0,0.684699,0.179572
0,0.969802,0.766444
0,0.0730443,0.48576
0,0.585686,0.593418
0,0.395894,0.0684528
0,0.851871,0.271662
0,0.249545,0.971656
0,0.803139,0.522475
0,0.228448,0.0559598
0,0.596965,0.367384
0,0.449184,0.924611
0,0.349543,0.392846
0,0.698154,0.854105
0,0.0526244,0.706531
0,0.960194,0.216298
0,0.864506,0.45092
0,0.161249,0.789651
0,0.386394,0.139098
0,0.510691,0.686807
0,0.0796913,0.29011
0,0.8802,0.964191
0,0.260269,0.599332
0,0.659097,0.121338
0,0.0487542,0.111383
0,0.988376,0.664641
0,0.66375,0.288948
0,0.257136,0.763925
0,0.545352,0.94783
0,0.436974,0.465719
0,0.203317,0.596514
0,0.773801,0.129061
0,0.606216,0.032465
0,0.447318,0.71384
0,0.822364,0.869748
0,0.130512,0.354851
0,0.898577,0.378082
0,0.100909,0.929251
0,0.693249,0.557689
0,0.350869,0.189168
0,0.99201,0.888304
0,0.0378202,0.328139
0,0.66444,0.0128305
0,0.251085,0.533645
0,0.41491,0.242625
0,0.509861,0.724351
0,0.249664,0.820775
0,0.771263,0.418707
0,0.318597,0.478875
0,0.69698,0.7681
0,0.926909,0.170909
0,0.107677,0.646914
0,0.444632,0.98665
0,0.593957,0.259039
0,0.153048,0.0726967
0,0.823484,0.586191
0,0.620535,0.00969023
0,0.40006,0.735762
0,0.850141,0.837805
0,0.196975,0.320529
0,0.650395,0.515978
0,0.317995,0.229055
0,0.101164,0.895763
0,0.952291,0.420397
0,0.16305,0.571717
0,0.764194,0.17148
0,0.540183,0.974153
0,0.498018,0.494701
0,0.259157,0.782576
0,0.712021,0.263371
0,0.912836,0.638485
0,0.0389972,0.0806243
0,0.413648,0.169283
0,0.532323,0.573806
0,0.212463,0.971784
0,0.762493,0.489322
0,0.263396,0.626472
0,0.660639,0.0896798
0,0.998847,0.788446
0,0.0409767,0.263766
0,0.819852,0.738161
0,0.152117,0.00784326
0,0.599545,0.315314
0,0.450926,0.831354
0,0.351002,0.416936
