x,y,z
0.220767,0.441534,0.276773
0.340255,0.68051,1.52171
0.16575,0,1.05011
0.465346,0.930692,0.622607
0.235119,0.470237,0.860581
0.900854,0,0.881406
0.183633,0,1.72941
0.0123261,0.0246522,0.959163
0.679262,0.641476,1.41325
0.413032,0.404518,0
0.822627,0.354745,0.877672
0.413487,0.826975,1.86914
0.582683,0.834635,1.37497
0.930695,0.13861,0.527671
0.591701,0.816599,0.114964
0.715051,0.482779,2
0.385035,0.77007,0.630334
0.565943,0.868113,1.24774
0.380679,0,1.40635
0.718356,0.563287,0.571964
0.348441,0.696882,0.528504
0.388596,0.0295654,2
0.25777,0,1.32149
0.93674,0.126519,0.0318083
0.192662,0.385323,1.45715
0.107993,0,0.810972
0.457859,0.915719,1.77394
0.76333,0.47334,1.80076
0.986921,0,1.70081
0.0713072,0.142614,0.615739
0.269025,0.538051,1.24447
0.964487,0.071026,1.80026
0.679552,0,0.0765857
0.54711,0.905779,0.627771
0.612302,0,0.892918
0.374497,0.748995,0.533781
0.0742245,0.148449,0.194252
0.865094,0.269811,0.24884
0.233235,0.466469,0.499691
0.138672,0.277343,0.834694
0.342505,0,0.885547
0.131345,0,0.728509
0.161892,0.323784,0.936276
0.291229,0.582459,1.26863
0.127716,0,1.83311
0.745219,0,0.572698
0.347364,0.45329,0
0.781409,0,1.2932
0.181446,0,1.55514
0.0524388,0.104878,1.65617
0.211484,0.0212934,0
0.715051,0.569898,0.187132
0.566477,0,0.633469
0.523549,0.805654,2
0.28366,0.567319,0.0293566
0.89766,0.20468,1.15024
0.367323,0,1.56806
0.184776,0.369552,0.773234
0.444301,0.888602,0.503576
0.151493,0,1.90918
0.695159,0.609683,1.55953
0.0762595,0.152519,0.104144
0.952067,0.0958658,0.660862
0.623791,0.752417,0.60129
0.420714,0.841427,0.623116
0.246461,0.492922,0.493915
0.347527,0.0958536,0
0.552107,0.895785,1.03566
0.639133,0,1.55507
0.041962,0.0839239,1.92067
0.334451,0.668902,0.613532
0.462138,0.924275,1.47161
0.335339,0,0.826509
0.570248,0.859504,0.0331834
0.269647,0.539294,1.64785
0.00330034,0.00660068,0.939448
0.283351,0,1.77135
0.213506,0.427012,1.78973
0.0556099,0.11122,1.80383
0.536681,0.926639,0.888017
0.451551,0.903101,0.12807
0.64878,0,1.79781
0.808353,0.383294,1.62683
0.165636,0,0.754093
0.314117,0.628234,0.317245
0.127672,0.255343,1.56946
0.961233,0.0775347,1.94216
0.583332,0.833336,0.212143
0.433631,0.610785,0
0.861887,0.122334,0
0.630357,0.739286,1.03576
0.350738,0.582123,0
0.883716,0,0.630822
0.94312,0.11376,0.981293
0.135431,0.270863,1.81329
0.305761,0.611522,0.665136
0.0675104,0,1.36496
0.360899,0,0.917204
0.920768,0.158464,0.577321
0.29465,0.589301,1.24643
0.660709,0.678582,1.01379
0.24435,0.0311715,2
0.686708,0.626584,1.38048
0.260177,0.520354,0.817616
0.389907,0.555978,2
0.857453,0.285094,1.88799
0.744982,0.272105,2
0.204413,0.408827,1.94763
0.74606,0.507879,0.131946
0.574555,0.85089,0.297954
0.240351,0.480703,1.28216
0.367056,0.734113,1.84292
0.588967,0.822067,0.237377
0.186876,0.373751,1.60084
0.797089,0,0.244062
0.774527,0.349881,2
0.70638,0.58724,0.878187
0.173393,0,1.9331
0.782781,0.434437,0.0756736
0.450518,0.655358,0
0.868375,0.263251,1.83502
0.759604,0.35537,0
0.185237,0.370475,1.51976
0.816422,0.367156,1.06612
0.777131,0.143036,0
0.809801,0,1.04482
0.367539,0.735078,1.2778
0.228718,0.457435,1.6803
0.635247,0.729505,0.298625
0.930073,0,0.290836
0.392614,0.785229,0.967496
0.75678,0.486441,1.77747
0.889781,0,0.615406
0.915138,0.169724,0.124196
0.2883,0.5766,1.79108
0.731207,0,1.35484
0.0293083,0,1.40113
0.620728,0.471269,2
0.25879,0,0.889999
0.109433,0.218866,0.743178
0.284653,0.569307,1.43398
0.698854,0,1.89463
0.294193,0.170787,2
0.301691,0,0.58349
0.649544,0,1.24477
0.966896,0.0662085,0.910547
0.366803,0.415557,0
0.592879,0.814243,0.3281
0.590774,0,0.729285
0.163743,0.250766,2
0.653816,0,0.856746
0.778761,0.442478,1.21111
0.776385,0.16823,2
0.970391,0,0.7694
0.755931,0.488138,0.812842
0.164591,0.329182,0.72085
0.656673,0,1.67055
0.245792,0,1.87794
0.916028,0.167944,0.93772
0.19615,0.203981,0
0.380008,0.0896491,2
0.312756,0.625511,1.54518
0.398766,0,0.696523
0.159489,0.318979,1.95769
0.557236,0.885527,1.85763
0.538546,0,0.836772
0.288112,0,1.13419
0.527219,0.945563,0.633504
0.350123,0.700247,0.54776
0.567555,0,0.784884
0.433966,0,0.219872
0.883154,0,0.193219
0.0687639,0.137528,1.09202
0.758233,0.483534,1.20864
0.904855,0.19029,1.49565
0.440551,0.881103,0.499497
0.489682,0.979364,0.612408
0.798032,0.403936,0.20519
0.486988,0,1.31808
0.33317,0.66634,0.965539
0.0675181,0.135036,1.47071
0.956282,0.0874367,1.31988
0.591113,0,1.20714
0.565063,0.869875,1.7011
0.288743,0,1.73079
0.696596,0,0.276335
0.642612,0.714777,1.57448
0.829959,0.340082,1.15636
0.567114,0.865772,0.12709
0.300146,0,1.56277
0.561641,0.603305,0
0.780787,0.438427,1.72473
0.396781,0.793562,0.389514
0.493843,0,0.0440034
0.0624941,0.124988,0.0718204
0.122562,0,0.102647
0.280481,0.560962,1.33109
0.43749,0,1.06634
0.10103,0,1.45085
0.435837,0.761837,0
0.642174,0.238782,0
0.207683,0.415367,1.32943
0.203461,0,1.94083
0.691607,0.616787,0.783132
0.62686,0.389146,2
0.183343,0,0.0236364
0.266111,0.532223,1.74793
0.939435,0.12113,1.17885
0.771609,0,1.16865
0.218502,0.074599,0
0.110068,0.220136,0.028373
0.800156,0.399688,1.64648
0.170902,0,0.218992
0.428435,0.856871,0.172577
0.0880471,0.176094,1.1992
0.129405,0,0.708561
0.638712,0,0.24425
0.330441,0.660882,0.748793
0.537629,0.924742,0.398171
0.776995,0.446009,0.0281579
0.282518,0.565037,0.150726
0.633987,0,0.117945
0.83032,0.00998574,0
0.687103,0.625795,1.89942
0.64088,0.71824,0.0221782
0.530494,0,1.40077
0.244618,0.456848,2
0.547104,0.905792,0.800982
0.274025,0,0.627903
0.258435,0.51687,1.64528
0.0636947,0.127389,1.05786
0.862997,0.274007,1.49135
0.145014,0,1.54627
0.746353,0.507294,0.264596
0.83329,0,0.845515
0.266322,0.532643,1.22861
0.273479,0,0.817297
0.767278,0.465444,1.19207
0.980845,0,1.26437
0.480839,0.961677,0.567378
0.0825556,0.165111,0.643169
0.631503,0.736995,0.841356
0.850328,0.299343,0.149652
0.0383717,0,1.32463
0.0722699,0.14454,1.60721
0.856912,0,1.34286
0.394032,0.788063,1.91214
0.276633,0.553265,0.816257
0.19701,0.39402,1.76163
0.294615,0.589231,1.6803
0.0937011,0,0.0177708
0.345163,0,0.592015
0.578303,0.843393,0.131814
0.099846,0.0941096,2
0.97141,0.0571807,0.715146
0.792583,0.414833,1.47213
0.505996,0.988008,0.809006
0.134835,0.269671,0.505118
0.344006,0.688012,0.153184
0.702124,0.595752,0.284974
0.845593,0.308813,0.711507
0.043287,0.086574,1.42133
0.213362,0.148407,0
0.483885,0.96777,1.79048
0.558078,0.883844,0.331128
0.8961,0.2078,0.353482
0.158022,0.316044,1.13462
0.716064,0.567871,0.412775
0.128679,0,1.9924
0.404335,0.80867,0.268095
0.847659,0,0.0202095
0.913004,0.173991,0.0645773
0.528908,0.942183,0.478419
0.219281,0.438563,0.477965
0.416899,0.833797,0.596477
0.435941,0.871882,0.516248
0.109972,0,1.41034
0.143767,0.287533,0.995817
0.212903,0.425807,0.286147
0.609248,0.781505,1.38643
0.145899,0.291798,0.068615
0.0325626,0.0651251,0.442329
0.345346,0.690691,1.5366
0.403193,0.806387,1.00764
0.070657,0.141314,0.656138
0.657839,0.431311,0
0.639281,0.721438,1.81996
0.208473,0,0.629253
0.102103,0.204207,1.98622
0.641804,0.716392,0.293704
0.970569,0.058862,0.124501
0.298588,0.597175,1.20348
0.716895,0.141236,0
0.810208,0,0.0146548
0.483424,0.966848,1.01344
0.817222,0.365557,0.611683
0.214223,0.428446,0.85654
0.637713,0.608679,0
0.436716,0.873432,1.86388
0.594848,0.618256,0
0.91625,0.1675,1.17691
0.681994,0,0.838553
0.103944,0.0199304,2
0.564995,0.87001,0.072265
0.11747,0.234941,1.52785
0.861456,0,0.876463
0.178147,0.356293,1.00507
0.864708,0.270584,0.468298
0.588843,0.822315,1.28219
0.0600446,0,0.0637511
0.471862,0.12138,2
0.941804,0,0.09166
0.534439,0.921646,2
0.941634,0.116732,1.36512
0.461317,0.264655,2
0.635573,0.728855,1.98549
0.192622,0.385244,1.37344
0.343918,0.687837,0.526955
0.64782,0,1.97418
0.564213,0.871574,1.18035
0.53766,0,0.0395298
0.592477,0.815045,0.266204
0.841095,0.31781,0.461607
0.404172,0.808343,1.87031
0.238032,0.476063,1.52554
0.0974183,0.194837,1.67614
0.712543,0.574913,0.545035
0.528101,0.943798,1.34735
0.948706,0,1.69004
0.577263,0.845473,0.721546
0.49922,0.998441,1.8608
0.894867,0,1.27128
0.0668002,0.1336,1.88105
0.875419,0.118426,0
0.645107,0.709786,0.388278
0.0633418,0,1.30848
0.60109,0.797821,0.811879
0.389359,0.778718,0.88967
0.248178,0.496356,1.46146
0.556885,0.068464,0
0.950969,0,0.821939
0.0146987,0.0293973,0.802533
0.409477,0,0.134651
0.716372,0.567256,0.446845
0.872833,0.254334,0.394268
0.177526,0.355051,1.79145
0.715828,0.568345,1.08828
0.775693,0.337046,0
0.366633,0.221783,2
0.280526,0,1.50992
0.520657,0.958685,1.90425
0.030858,0,0.936489
0.643399,0.441819,0
0.257251,0.514503,0.761136
0.429905,0.859811,1.00909
0.0396797,0.0793594,0.00707111
0.38353,0.767061,0.435087
0.142769,0,1.80421
0.748692,0,1.08073
0.325429,0.650858,0.76979
0.986573,0,1.30595
0.144321,0.288642,0.0913749
0.692475,0,1.48098
0.0264062,0.0528124,0.589492
0.572826,0.150527,0
0.158546,0.317092,1.77005
0.394438,0.788875,0.472116
0.351881,0,1.67497
0.33515,0.670299,1.04905
0.87034,0,0.616794
0.207409,0.225676,2
0.97954,0.04092,0.00909113
0.369538,0.739075,0.62989
0.574545,0.0631378,0
0.502043,0.959243,2
0.766927,0,0.722001
0.0720248,0,1.42982
0.530243,0,0.610094
0.926198,0.147605,1.77933
0.532908,0.934183,1.02124
0.339561,0.173069,0
0.856849,0.286301,1.00067
0.98864,0,1.82929
0.726335,0,0.883604
0.386743,0.773487,1.10023
0.720438,0,0.413261
0.818128,0.363745,1.08518
0.251405,0.160886,0
0.915594,0.168812,1.58833
0.772132,0,0.187745
0.6074,0.785201,0.468063
0.25733,0,0.335177
0.77492,0,0.327323
0.347454,0.694909,1.49386
0.568081,0.863838,1.89857
0.712876,0.45371,2
0.267723,0.535447,0.726826
0.267196,0,1.94601
0.263805,0.52761,1.58322
0.889831,0.088552,0
0.434359,0.30196,2
0.755801,0.488397,0.447883
0.978641,0,1.92924
0.00357217,0.00714433,1.93836
0.782174,0.435652,1.40464
0.313396,0.626793,1.64122
0.309456,0,0.876586
0.467822,0.935645,1.52342
0.765488,0,0.920771
0.995383,0.00923408,0.619381
0.542104,0,1.79124
0.847112,0,1.79339
0.129543,0,0.300565
0.755504,0.420236,2
0.727071,0.545858,0.0125456
0.37969,0.759381,1.33728
0.585586,0.828828,1.48729
0.253806,0,0.541175
0.734372,0,0.262384
0.232371,0.464743,1.92543
0.34587,0,1.05394
0.596026,0.807948,0.419996
0.187559,0.375118,0.194715
0.362032,0.687377,2
0.650225,0,0.0668494
0.122391,0,0.0654887
0.837188,0.325624,0.253267
0.0931614,0.186323,1.86378
0.594737,0.810526,1.61221
0.435554,0.871107,0.226082
0.894577,0.210846,0.069962
0.494864,0,0.135106
0.430071,0.860142,1.22704
0.471099,0.621607,2
0.742393,0,1.26283
0.729067,0.541865,1.58763
0.319261,0.638521,1.40479
0.816019,0.367962,1.21846
0.723331,0.553338,1.35836
0.0785562,0.157112,0.151158
0.985835,0.0283301,0.19973
0.153466,0,1.19964
0.0646614,0.129323,1.42121
0.492168,0,1.47306
0.993703,0.012595,0.166177
0.626277,0.747446,1.3572
0.901991,0.196018,1.79075
0.582288,0.516723,0
0.200098,0.400195,1.57097
0.145236,0.290472,0.28915
0.0230458,0,1.68621
0.596956,0.437551,2
0.716691,0,1.12494
0.661237,0.329813,2
0.62001,0,0.444268
0.8066,0.386801,0.619971
0.145294,0,1.10324
0.438744,0.877489,1.84218
0.421658,0.480669,0
